,title,author,publication_day,publication_month,publication_year,format,current_price,original_price
230,Unnatural Causes,Dr Richard Shepherd,24,9,2019,Paperback,18.52,18.52
231,Wheel of Time Premium Boxed Set I,Robert Jordan,29,10,2019,Paperback,40.43,40.43
232,One Last Stop,Casey McQuiston,1,6,2021,Paperback,13.81,16.99
233,There Was an Old Lady Who Swallowed a Fly,,1,12,2000,Board book,7.18,7.18
234,The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),Philippa Perry,1,1,2021,Paperback,14.25,14.25
235,de Sangre Y Cenizas,Jennifer L Armentrout,26,10,2021,Paperback,15.95,16.95
236,Red Roulette,Desmond Shum,7,9,2021,Hardback,26.78,30.0
237,The Starseed Oracle,Rebecca Campbell,13,1,2020,Cards,23.21,24.99
238,Numberblocks Annual 2022,Sweet Cherry Publishing,9,9,2021,Hardback,11.27,11.27
239,Brain Games For Clever Kids (R),Gareth Moore,1,10,2014,Paperback,8.25,8.25
240,Dark Rise: Dark Rise 1,C S Pacat,28,9,2021,Paperback,15.58,15.58
241,Ottolenghi Test Kitchen: Shelf Love,Yotam Ottolenghi,30,9,2021,Paperback,30.74,34.35
242,A Court of Wings and Ruin,Sarah J. Maas,5,6,2020,Paperback,16.4,16.4
243,Heretics Of Dune,Frank Herbert,28,1,2021,Paperback,16.59,16.59
244,"Fire Punch, Vol. 3",Tatsuki Fujimoto,9,8,2018,Paperback,11.03,12.99
245,Look Inside Our World,Emily Bone,30,12,2014,Board book,15.53,15.53
246,Six of Crows Boxed Set,Leigh Bardugo,16,10,2018,Paperback,28.73,28.73
247,Minecraft Annual 2022,Mojang AB,2,9,2021,Hardback,13.75,13.75
248,The Catcher in the Rye,J. D. Salinger,18,3,2005,Paperback,8.74,8.99
249,First 100 Words,Roger Priddy,10,5,2011,Board book,7.39,7.39
250,Numbers Don't Lie,Vaclav Smil,1,4,2021,Paperback,14.46,14.46
251,One Of Us Is Next,Karen M. McManus,9,1,2020,Paperback,11.3,11.3
252,Daring Greatly,Brene Brown,25,1,2016,Paperback,14.74,14.74
253,Room on the Broom,Julia Donaldson,25,8,2003,Paperback,9.3,9.3
254,Harry Potter y la cámara secreta (Ed. Minalima),J.K. Rowling,28,10,2021,Hardback,33.58,37.52
255,The Concise 48 Laws Of Power,Robert Greene,13,6,2002,Paperback,9.94,15.5
256,Attack On Titan Season 1 Part 1 Manga Box Set,Hajime Isayama,7,2,2020,Paperback,39.47,43.96
257,Chapter House Dune,Frank Herbert,28,1,2021,Paperback,17.07,17.07
258,Heartstopper Volume One,Alice Oseman,10,4,2019,Paperback,16.97,16.97
259,Tomie: Complete Deluxe Edition,Junji Ito,20,12,2016,Hardback,34.44,34.99
260,Superworm,Julia Donaldson,7,7,2016,Paperback,15.49,15.49
261,The Light Seer's Tarot,Chris-Anne,3,12,2019,Cards,22.42,24.99
262,Five Love Languages Revised Edition,Gary Chapman,26,3,2015,Paperback,13.73,15.99
